t1 t10 t100 t1000 t10000 ws wd th hh adj fireError maxSimulatedTime parallelizationLevel executionTime predictionFile 
  2   6   8  34  90    4   76  36  88  0.8  0.070721      90      1      2 ../fire-scenarios/arkadia/output/shape_1_2.shp
 10  10   6  53  81   28  226  37  44  0.4  0.045810      90      1      2 ../fire-scenarios/arkadia/output/shape_1_3.shp
  4   6   9  65  97   40  152  41  49  0.6  0.015218      90      1      3 ../fire-scenarios/arkadia/output/shape_1_1.shp
 12   8  13  44  84   76    2  48  42  1.2  0.111309      90      1      5 ../fire-scenarios/arkadia/output/shape_1_4.shp
  7  15   2  28  81  104  296  46  68  0.7  0.060281      90      1      7 ../fire-scenarios/arkadia/output/shape_1_5.shp
  2   8  10  34  72  148   37  33  59  0.1  0.095494      90      1     10 ../fire-scenarios/arkadia/output/shape_1_8.shp
  3   3  14  35  70    2   12  48  64  0.8  0.086656      90      1      1 ../fire-scenarios/arkadia/output/shape_1_10.shp
  5   6   7  64  77   85  198  44  78  1.0  0.019565      90      1      6 ../fire-scenarios/arkadia/output/shape_1_9.shp
  9  13   4  46  93   36  105  40  77  0.8  0.035787      90      1      2 ../fire-scenarios/arkadia/output/shape_1_11.shp
  5   7   8  21  75   62   42  40  92  1.1  0.131793      90      1      2 ../fire-scenarios/arkadia/output/shape_1_13.shp
  6   3  10  32  72  150  128  48  51  0.8  0.001407      90      1     18 ../fire-scenarios/arkadia/output/shape_1_6.shp
  9   4   6  58  85   25   79  44  52  1.3  0.069676      90      1      1 ../fire-scenarios/arkadia/output/shape_1_15.shp
 12  15  14  53  87   36  318  35  49  1.6  0.217412      90      1      2 ../fire-scenarios/arkadia/output/shape_1_16.shp
 13  10   3  50  81  122  171  41  44  0.6  0.002035      90      1      7 ../fire-scenarios/arkadia/output/shape_1_12.shp
 15   3   8  48  76  145  318  36  58  1.5  0.055156      90      1     21 ../fire-scenarios/arkadia/output/shape_1_7.shp
  3  11   6  50  75   10  305  44  53  1.1  0.130512      90      1      1 ../fire-scenarios/arkadia/output/shape_1_19.shp
 15   4  11  39  75   28  139  46  61  1.4  0.027666      90      1      1 ../fire-scenarios/arkadia/output/shape_1_18.shp
  5   9  13  25  97   16   85  40  36  0.7  0.081704      90      1      1 ../fire-scenarios/arkadia/output/shape_1_20.shp
 10  15   3  69  88   93  293  36  59  1.7  0.071744      90      1      6 ../fire-scenarios/arkadia/output/shape_1_14.shp
  9  15  13  37  95   62  233  42  50  1.5  0.046802      90      1      4 ../fire-scenarios/arkadia/output/shape_1_17.shp
  8  14   9  67  87   28  336  37  60  0.7  0.176781      90      1      1 ../fire-scenarios/arkadia/output/shape_1_23.shp
  6  13   3  54  92    7   29  38  55  0.4  0.096362      90      1      1 ../fire-scenarios/arkadia/output/shape_1_24.shp
  4   4   4  37  79   20  159  40  72  0.5  0.036921      90      1      1 ../fire-scenarios/arkadia/output/shape_1_25.shp
  6  15   7  51  93   67   18  35  39  1.6  0.120143      90      1      3 ../fire-scenarios/arkadia/output/shape_1_22.shp
 13  10  12  54 100  121  188  47  34  1.3  0.003988      90      1      6 ../fire-scenarios/arkadia/output/shape_1_21.shp
  2   8  10  34  72   10  187  35  59  1.1  0.059621      90      1      1 ../fire-scenarios/arkadia/output/shape_1_29.shp
  9  15   6  58  87   25   79  44  52  1.3  0.073287      90      1      1 ../fire-scenarios/arkadia/output/shape_1_28.shp
 12  15  14  32  87   36   76  36  49  1.6  0.063572      90      1      1 ../fire-scenarios/arkadia/output/shape_1_27.shp
  2   6   8  54  90    4   76  36  37  0.8  0.080931      90      1      1 ../fire-scenarios/arkadia/output/shape_1_30.shp
  3  11   6  50  75   10   83  44  53  1.1  0.086768      90      1      1 ../fire-scenarios/arkadia/output/shape_1_31.shp
 12   9  14  53  87   36  318  35  49  1.6  0.220782      90      1      2 ../fire-scenarios/arkadia/output/shape_1_26.shp
 13  13  10  34  93    7  262  38  98  0.4  0.069658      90      1      1 ../fire-scenarios/arkadia/output/shape_1_35.shp
  3   3  14  35  70   36   12  48  68  0.8  0.192526      90      1      2 ../fire-scenarios/arkadia/output/shape_1_32.shp
  6  15  14  53  88    2   86  35  39  1.6  0.070582      90      1      1 ../fire-scenarios/arkadia/output/shape_1_37.shp
  8   6   8  34  90    4  318  36  64  0.8  0.101197      90      1      1 ../fire-scenarios/arkadia/output/shape_1_40.shp
  6  15   7  51  87   67   18  35  49  1.6  0.124835      90      1      3 ../fire-scenarios/arkadia/output/shape_1_38.shp
  7  15   2  28  81  104  296  46  88  0.7  0.060281      90      1      7 ../fire-scenarios/arkadia/output/shape_1_33.shp
  6  14   9  44  92  149  336  37  60  0.7  0.063028      90      1     15 ../fire-scenarios/arkadia/output/shape_1_34.shp
 12  13   3  54  78    7   29  38  55  0.4  0.060750      90      1      1 ../fire-scenarios/arkadia/output/shape_2_41.shp
  6  15   7  51  85   10   18  35  49  1.6  0.124679      90      1      1 ../fire-scenarios/arkadia/output/shape_2_43.shp
  6  15   7  51  93   36   18  35  39  1.6  0.180676      90      1      1 ../fire-scenarios/arkadia/output/shape_2_42.shp
 12  14  15  34  87   48  318  35  99  1.6  0.220835      90      1      2 ../fire-scenarios/arkadia/output/shape_2_48.shp
 12  15  14  51  87   36  318  35  49  1.6  0.217412      90      1      2 ../fire-scenarios/arkadia/output/shape_2_49.shp
  8  15  14  53  90    4  318  36  49  0.8  0.092834      90      1      1 ../fire-scenarios/arkadia/output/shape_2_51.shp
  6  15   7  53  87   67   18  35  49  1.6  0.124835      90      1      3 ../fire-scenarios/arkadia/output/shape_2_47.shp
  6  15   8  53  87   36  318  35  49  1.6  0.209203      90      1      2 ../fire-scenarios/arkadia/output/shape_2_54.shp
  3   3   6  50  75   67  305  35  57  1.1  0.066030      90      1      5 ../fire-scenarios/arkadia/output/shape_2_46.shp
 12  15  14  53  87   67  318  41  64  1.6  0.135573      90      1      4 ../fire-scenarios/arkadia/output/shape_2_55.shp
 12  15  14  53  87   36   18  35  49  1.6  0.190951      90      1      1 ../fire-scenarios/arkadia/output/shape_3_58.shp
 12   2  11  51  87   28  318  35  49  1.4  0.171461      90      1      1 ../fire-scenarios/arkadia/output/shape_3_59.shp
 12  15  14  53  87   36  318  44  49  1.6  0.217412      90      1      2 ../fire-scenarios/arkadia/output/shape_3_60.shp
  3  11   6  51  75   10  305  35  53  1.1  0.130512      90      1      1 ../fire-scenarios/arkadia/output/shape_3_65.shp
 12  15  14  53  87   36  318  35  99  1.6  0.217412      90      1      2 ../fire-scenarios/arkadia/output/shape_3_64.shp
 12   4  14  53  87   36  318  35  49  1.6  0.219383      90      1      2 ../fire-scenarios/arkadia/output/shape_3_61.shp
 12  15  14  24  87   71  318  35  49  0.7  0.123218      90      1      4 ../fire-scenarios/arkadia/output/shape_3_57.shp
  8  14   9  67  87   36  336  37  60  0.1  0.222423      90      1      2 ../fire-scenarios/arkadia/output/shape_3_67.shp
  7  13   7  50  91   36  318  35  39  1.6  0.209776      90      1      2 ../fire-scenarios/arkadia/output/shape_3_68.shp
  9  15   6  58  95   25  109  44  97  1.3  0.048634      90      1      1 ../fire-scenarios/arkadia/output/shape_3_69.shp
  3  14  15  34  87   48  318  30  49  1.6  0.149083      90      1      3 ../fire-scenarios/arkadia/output/shape_3_66.shp
 12  15  14  53  87   36  182  35  43  1.6  0.023602      90      1      1 ../fire-scenarios/arkadia/output/shape_4_70.shp
 11  15  14  53  87   36  318  50  99  1.6  0.218265      90      1      2 ../fire-scenarios/arkadia/output/shape_4_73.shp
  7  14  10  53  87   36  336  37  49  0.1  0.221953      90      1      2 ../fire-scenarios/arkadia/output/shape_4_71.shp
 12   2   3  53  91   36  318  35  49  1.0  0.216235      90      1      2 ../fire-scenarios/arkadia/output/shape_4_77.shp
  7  13   7  50  87   36  318  35  49  1.6  0.209776      90      1      2 ../fire-scenarios/arkadia/output/shape_4_78.shp
  8  15   9  51  87   36  318  35  49  1.6  0.210147      90      1      2 ../fire-scenarios/arkadia/output/shape_4_79.shp
  6  15  14  53  87   36  318  35  49  1.6  0.209142      90      1      2 ../fire-scenarios/arkadia/output/shape_4_80.shp
 12  15  14  53  87   36  318  35  60  1.6  0.217412      90      1      2 ../fire-scenarios/arkadia/output/shape_4_82.shp
 12  15  14  53  87   36  318  35  39  1.6  0.217412      90      1      2 ../fire-scenarios/arkadia/output/shape_4_83.shp
 12   5  14  53  87   36  249  35  49  1.0  0.074717      90      1      2 ../fire-scenarios/arkadia/output/shape_5_88.shp
 12  15  14  35  87   36  318  37  73  1.6  0.217412      90      1      2 ../fire-scenarios/arkadia/output/shape_5_87.shp
  7  14  10  53  92   43  336  37  49  0.1  0.205371      90      1      2 ../fire-scenarios/arkadia/output/shape_5_84.shp
 12  14  15  27  87   48  318  35  99  1.6  0.220835      90      1      2 ../fire-scenarios/arkadia/output/shape_5_86.shp
  3   4  14  53  87   36   19  38  49  1.6  0.179038      90      1      1 ../fire-scenarios/arkadia/output/shape_5_90.shp
  5   4  14  53  87   36  339  50 100  1.6  0.211596      90      1      2 ../fire-scenarios/arkadia/output/shape_5_89.shp
 12  15   9  53  87  112  318  47  49  1.6  0.063601      90      1     10 ../fire-scenarios/arkadia/output/shape_5_97.shp
 12  14  15  34  87   48  318  35  49  1.6  0.220835      90      1      2 ../fire-scenarios/arkadia/output/shape_6_111.shp
 12  14  15  34  87   48  318  35  69  1.6  0.220835      90      1      2 ../fire-scenarios/arkadia/output/shape_6_99.shp
 12  11  15  34  87   48  318  35  75  1.6  0.209496      90      1      2 ../fire-scenarios/arkadia/output/shape_6_112.shp
 12  14   8  34  87  144  304  35  99  1.6  0.051427      90      1     16 ../fire-scenarios/arkadia/output/shape_6_101.shp
 12  14  14  51  87   36  318  35  49  1.6  0.217998      90      1      2 ../fire-scenarios/arkadia/output/shape_7_115.shp
 12  15  15  34  87   48  318  35  99  1.6  0.224401      90      1      2 ../fire-scenarios/arkadia/output/shape_7_117.shp
  5  14  15  34  87   48  318  35  99  1.6  0.159336      90      1      3 ../fire-scenarios/arkadia/output/shape_7_116.shp
 12  14  15  34  84   48  318  35  66  1.6  0.220835      90      1      2 ../fire-scenarios/arkadia/output/shape_7_120.shp
 12  14  15  34  87   41  318  35  99  1.6  0.240390      90      1      2 ../fire-scenarios/arkadia/output/shape_7_126.shp
 14  14  15  27  87   48  318  39  60  1.3  0.235920      90      1      2 ../fire-scenarios/arkadia/output/shape_7_123.shp
 12  12  15  64  98  122  318  35  99  1.6  0.058502      90      1     13 ../fire-scenarios/arkadia/output/shape_7_119.shp
 12  14  15  50  87   32   80  47  99  1.6  0.037795      90      1      1 ../fire-scenarios/arkadia/output/shape_8_130.shp
 14  14  15  34  87   48  318  39  60  1.3  0.235920      90      1      2 ../fire-scenarios/arkadia/output/shape_8_129.shp
 12  14  15  34  87   48  108  35  49  1.6  0.027924      90      1      2 ../fire-scenarios/arkadia/output/shape_8_128.shp
 12  14   5  27  87   48  149  35  99  1.9  0.014696      90      1      2 ../fire-scenarios/arkadia/output/shape_8_133.shp
 14  14  15  27  87   28  318  45  60  1.3  0.175972      90      1      1 ../fire-scenarios/arkadia/output/shape_8_137.shp
 12  15   2  34  87   48  318  35  98  0.1  0.224252      90      1      2 ../fire-scenarios/arkadia/output/shape_8_138.shp
 14   9  15  27  87   48  318  39  69  1.3  0.218981      90      1      2 ../fire-scenarios/arkadia/output/shape_8_139.shp
 12  14  15  27  87   48  318  39  99  1.6  0.220835      90      1      2 ../fire-scenarios/arkadia/output/shape_8_140.shp
 12  14  15  53  87  103  318  39  76  1.6  0.068018      90      1      9 ../fire-scenarios/arkadia/output/shape_8_134.shp
 12  14   4  34  87   48   63  35  99  0.1  0.050300      90      1      1 ../fire-scenarios/arkadia/output/shape_9_147.shp
 13  14   4  34  87   41  284  35  99  1.6  0.147426      90      1      2 ../fire-scenarios/arkadia/output/shape_9_144.shp
 12  14  15  34  84   41  318  44  99  1.6  0.240390      90      1      2 ../fire-scenarios/arkadia/output/shape_9_146.shp
 11  14  15  34  99   41  318  35  99  1.6  0.236687      90      1      2 ../fire-scenarios/arkadia/output/shape_9_148.shp
 12  14  15  34  87   48  318  39  99  1.6  0.220835      90      1      2 ../fire-scenarios/arkadia/output/shape_9_151.shp
 14  14  15  27  87   48  318  41  60  0.8  0.235920      90      1      2 ../fire-scenarios/arkadia/output/shape_9_152.shp
 12  14  15  34  87   65  318  35  99  1.6  0.138594      90      1      4 ../fire-scenarios/arkadia/output/shape_9_150.shp
 12  15   4  27  95   41  318  44  99  1.6  0.241370      90      1      2 ../fire-scenarios/arkadia/output/shape_9_153.shp
 14  14  15  65  87   91  318  39  59  1.3  0.091792      90      1      6 ../fire-scenarios/arkadia/output/shape_9_142.shp
 14  14  15  27  87   48  318  35  60  1.3  0.235920      90      1      2 ../fire-scenarios/arkadia/output/shape_9_154.shp
 12  14  15  34  87   41  121  35  99  1.6  0.025404      90      1      2 ../fire-scenarios/arkadia/output/shape_10_158.shp
 14  14  15  27  87   48    7  35  60  1.3  0.228063      90      1      2 ../fire-scenarios/arkadia/output/shape_10_156.shp
 12  14  10  34  87   41  318  35  99  1.6  0.240207      90      1      2 ../fire-scenarios/arkadia/output/shape_10_157.shp
 12  14  15  54  87   53   31  35  99  1.6  0.102259      90      1      2 ../fire-scenarios/arkadia/output/shape_10_155.shp
 12  14   6  34  71   16  318  35  46  1.6  0.155941      90      1      1 ../fire-scenarios/arkadia/output/shape_10_161.shp
  9  14  12  34  76   41   22  48  99  1.3  0.153458      90      1      2 ../fire-scenarios/arkadia/output/shape_10_164.shp
 12   8  15  34  84   41  318  44  80  1.6  0.227950      90      1      2 ../fire-scenarios/arkadia/output/shape_10_162.shp
 12  15  15  34  87   41  318  35  99  1.6  0.241442      90      1      2 ../fire-scenarios/arkadia/output/shape_10_165.shp
 12  14  15  46  87   41  318  35  99  1.6  0.240390      90      1      2 ../fire-scenarios/arkadia/output/shape_10_167.shp
