t1 t10 t100 t1000 t10000 ws wd th hh adj fireError maxSimulatedTime parallelizationLevel executionTime predictionFile 
  7   3   9  46  82  137  196  31  64  1.3  0.001581    1830      1     20 ../fire-scenarios/jonquera/output/shape_1_4.shp
 10   3   2  24  73   22   77  33  49  1.4  0.002553     240      1     31 ../fire-scenarios/jonquera/output/shape_1_2.shp
 12  13  12  29 100   41   33  44  94  0.9  0.007528    1440      1     31 ../fire-scenarios/jonquera/output/shape_1_1.shp
 10  10   7  58  92   51   42  48  93  1.3  0.002830    1500      1     35 ../fire-scenarios/jonquera/output/shape_1_3.shp
  6  13   9  29  81   39  292  46  45  0.4  0.000010     180      1     30 ../fire-scenarios/jonquera/output/shape_1_7.shp
  8   9   8  69  88   80  312  38  76  1.5  0.000039     180      1     30 ../fire-scenarios/jonquera/output/shape_1_8.shp
  8  11  15  49  89   37  130  34  82  1.6  0.003332    1830      1     36 ../fire-scenarios/jonquera/output/shape_1_6.shp
 13   7   9  40  84   31  129  43  79  0.5  0.001607     420      1     31 ../fire-scenarios/jonquera/output/shape_1_9.shp
 11  15   4  31  70  145  274  41  93  1.0  0.000001     240      1     30 ../fire-scenarios/jonquera/output/shape_1_10.shp
 15  13   9  63  72   57  278  48  70  0.8  0.000001     270      1     55 ../fire-scenarios/jonquera/output/shape_1_11.shp
  6  10   4  30  84   69  269  48  40  0.2  0.000001     180      1     34 ../fire-scenarios/jonquera/output/shape_1_12.shp
 11  12   8  44  82   79  222  32  95  0.4  0.000696    1830      1      8 ../fire-scenarios/jonquera/output/shape_1_14.shp
  9   9  12  26  86  129  287  44  96  0.1  0.000001     210      1     56 ../fire-scenarios/jonquera/output/shape_1_13.shp
  3  11   2  64  90   41  309  47  97  1.4  0.000126     150      1     30 ../fire-scenarios/jonquera/output/shape_1_15.shp
 12   4  14  66  78   22  259  37  71  0.1  0.000060     180      1     30 ../fire-scenarios/jonquera/output/shape_1_18.shp
 15   3   4  70  86  124  219  32  97  0.2  0.000780    1830      1     41 ../fire-scenarios/jonquera/output/shape_1_17.shp
  4   8   8  22  98  123   32  35  90  1.1  0.003770    1200      1     87 ../fire-scenarios/jonquera/output/shape_1_16.shp
 15  11  14  41 100   37   65  42  60  1.1  0.001551     390      1     32 ../fire-scenarios/jonquera/output/shape_1_19.shp
  2  15   8  51  88  102  140  39  81  0.7  0.001633    1830      1      6 ../fire-scenarios/jonquera/output/shape_1_21.shp
 11   3  12  29  95  141  297  48  46  0.7  0.000000     150      1     50 ../fire-scenarios/jonquera/output/shape_1_20.shp
  7  12  13  26 100  102  317  40  45  0.2  0.000226     210      1     30 ../fire-scenarios/jonquera/output/shape_1_22.shp
  5  15   2  67  81  112  325  50  50  1.2  0.002165     240      1     35 ../fire-scenarios/jonquera/output/shape_1_24.shp
  8   8   2  30  80   39   88  35  72  1.1  0.000526     270      1     30 ../fire-scenarios/jonquera/output/shape_1_25.shp
  5  13   3  57  73   50  251  46  92  1.9  0.000023     390      1    110 ../fire-scenarios/jonquera/output/shape_1_23.shp
 11   7  10  32  72  116   63  38  70  1.7  0.000980    1140      1    435 ../fire-scenarios/jonquera/output/shape_1_5.shp
 14  11  15  49  89   37  130  34  90  0.6  0.003114    1830      1     26 ../fire-scenarios/jonquera/output/shape_1_29.shp
 11   7   9  70  72  116   63  38  64  1.7  0.000470     570      1     34 ../fire-scenarios/jonquera/output/shape_1_27.shp
  4   7  10  32  72  116   63  38  70  1.7  0.000384     510      1     41 ../fire-scenarios/jonquera/output/shape_1_28.shp
 11   8  10  31  72  116   63  38  70  1.7  0.001404    1830      1     42 ../fire-scenarios/jonquera/output/shape_1_26.shp
  4  12   8  60 100   79  222  35  95  0.4  0.000716    1830      1      7 ../fire-scenarios/jonquera/output/shape_1_32.shp
 12  13  12  29  82   33   33  44  94  0.9  0.027786    1530      1     34 ../fire-scenarios/jonquera/output/shape_1_30.shp
  2   3   2  24  73   22   77  33  49  1.4  0.002307     210      1     30 ../fire-scenarios/jonquera/output/shape_1_31.shp
 15   3   4  54  86  124  219  32  37  1.1  0.000780    1830      1     37 ../fire-scenarios/jonquera/output/shape_1_34.shp
  8  15   8  51  98  123   53  39  81  0.7  0.000814    1350      1     50 ../fire-scenarios/jonquera/output/shape_1_33.shp
 10   3   2  24  73   22   77  39  49  1.4  0.003877     270      1     34 ../fire-scenarios/jonquera/output/shape_1_35.shp
  2  15   8  22  88  102  140  33  81  0.7  0.001633    1830      1      5 ../fire-scenarios/jonquera/output/shape_1_38.shp
 11   8   8  24  98  102  196  35  82  1.1  0.001191    1830      1      7 ../fire-scenarios/jonquera/output/shape_1_40.shp
 15  11  14  41 100  123   65  42  60  1.1  0.000135     450      1     43 ../fire-scenarios/jonquera/output/shape_1_36.shp
  4   8   8  51  98   37   32  35  90  0.2  0.008794     750      1     46 ../fire-scenarios/jonquera/output/shape_1_37.shp
  7   3   9  46  82  137   32  31  70  1.3  0.002070     840      1     66 ../fire-scenarios/jonquera/output/shape_1_39.shp
 12  13  12  41 100   41   33  44  94  0.9  0.007528    1440      1     30 ../fire-scenarios/jonquera/output/shape_2_42.shp
 12   9  12  29  98   33   94  33  94  0.6  0.001199     330      1     30 ../fire-scenarios/jonquera/output/shape_2_44.shp
 10   3   2  24  73   22   77  39  70  1.4  0.002539     240      1     30 ../fire-scenarios/jonquera/output/shape_2_43.shp
 12  13  12  70  82   33   33  45  94  0.7  0.026689    1530      1     31 ../fire-scenarios/jonquera/output/shape_2_47.shp
  4   8   8  29  98   37   32  35  90  0.2  0.002605     240      1     31 ../fire-scenarios/jonquera/output/shape_2_48.shp
  4  13   6  35 100   41   33  44  94  0.9  0.014837    1380      1     71 ../fire-scenarios/jonquera/output/shape_2_41.shp
 10   3   2  24  73   22   77  31  90  1.4  0.004210     270      1     30 ../fire-scenarios/jonquera/output/shape_2_50.shp
 12  13  12  51  98   41   33  44  94  0.9  0.007528    1440      1     30 ../fire-scenarios/jonquera/output/shape_2_51.shp
 12   8   8  22  82  123   32  35  70  1.1  0.003287    1110      1     68 ../fire-scenarios/jonquera/output/shape_2_49.shp
  7   3   9  46 100  137   32  39  49  1.3  0.001005     300      1     30 ../fire-scenarios/jonquera/output/shape_2_53.shp
 11   8  10  31  72  116   63  38  49  1.7  0.000225     450      1     91 ../fire-scenarios/jonquera/output/shape_2_54.shp
  4   8   8  51 100   33   32  35  90  0.2  0.003952     240      1     32 ../fire-scenarios/jonquera/output/shape_3_57.shp
  4   8   8  51  98   33   32  35  90  0.2  0.003952     240      1     32 ../fire-scenarios/jonquera/output/shape_3_55.shp
 12  13  12  47  98   43   50  44  94  0.9  0.003346    1650      1     37 ../fire-scenarios/jonquera/output/shape_3_56.shp
 12  13  12  29  82   37   33  44  94  0.9  0.018364    1530      1     31 ../fire-scenarios/jonquera/output/shape_3_62.shp
  7   8   8  58  98   37  343  44  90  0.2  0.036496     180      1     60 ../fire-scenarios/jonquera/output/shape_3_60.shp
 12   8   8  51  78   48   51  35  90  0.2  0.001878    1380      1     32 ../fire-scenarios/jonquera/output/shape_3_63.shp
  4  13   6  30 100   41   33  44  94  0.9  0.012974    1350      1     72 ../fire-scenarios/jonquera/output/shape_3_59.shp
 12  13  12  29  82   33  171  45  94  1.0  0.002191    1830      1     24 ../fire-scenarios/jonquera/output/shape_3_64.shp
 12   2  12  29  82   41   33  41  94  0.9  0.011581    1260      1    125 ../fire-scenarios/jonquera/output/shape_3_58.shp
  4   8   9  51  98   26   32  35  90  0.2  0.005816     210      1     30 ../fire-scenarios/jonquera/output/shape_3_65.shp
 12  13  12  70  82   37   33  45  94  0.7  0.020547    1560      1     36 ../fire-scenarios/jonquera/output/shape_3_67.shp
  3   8   9  51  98  126   32  35  90  0.1  0.003515    1170      1     85 ../fire-scenarios/jonquera/output/shape_3_66.shp
 12   8   8  51  98   37   32  35  90  0.2  0.044953    1830      1     68 ../fire-scenarios/jonquera/output/shape_3_69.shp
  4  13  12  70 100   33   33  35  94  0.7  0.035131    1230      1    116 ../fire-scenarios/jonquera/output/shape_3_68.shp
 12  13  12  70  82   37   33  44  94  0.9  0.018364    1530      1     31 ../fire-scenarios/jonquera/output/shape_4_73.shp
 12  13  12  35  82   33   33  44  94  0.9  0.035084    1590      1     52 ../fire-scenarios/jonquera/output/shape_4_74.shp
 12  13  12  29 100   33   33  45  94  0.7  0.026689    1530      1     30 ../fire-scenarios/jonquera/output/shape_4_79.shp
  9  13  12  70  82   33   33  35  94  0.2  0.039610    1350      1     68 ../fire-scenarios/jonquera/output/shape_4_76.shp
  4   8   6  29 100   41   33  44  94  0.9  0.010546    1230      1     88 ../fire-scenarios/jonquera/output/shape_4_78.shp
 12  10   8  63  98   37   32  35  90  0.9  0.027748    1320      1     69 ../fire-scenarios/jonquera/output/shape_4_80.shp
  4  13   8  35 100   37   33  44  94  0.9  0.021495    1320      1     74 ../fire-scenarios/jonquera/output/shape_4_81.shp
 12   8   6  51  98   37   32  35  90  0.2  0.044953    1830      1     72 ../fire-scenarios/jonquera/output/shape_4_82.shp
  4  13   8  51  98   37   32  35  90  0.7  0.024954    1230      1    123 ../fire-scenarios/jonquera/output/shape_4_83.shp
 10   8   3  29 100   41   33  44  55  0.9  0.002342     300      1     31 ../fire-scenarios/jonquera/output/shape_5_88.shp
 12  13  12  35  82   33   33  44  90  0.9  0.030590    1440      1     31 ../fire-scenarios/jonquera/output/shape_5_87.shp
 12  13   8  70 100   37   33  38  94  0.9  0.023603    1440      1     31 ../fire-scenarios/jonquera/output/shape_5_85.shp
 12   9   8  53  98   37   36  35  90  0.7  0.016920    1290      1     72 ../fire-scenarios/jonquera/output/shape_5_84.shp
  7   8   8  58  98   41  343  44  90  0.2  0.036866     180      1     59 ../fire-scenarios/jonquera/output/shape_5_92.shp
  4  13  12  26  98   33  145  35  63  0.2  0.003427    1830      1     20 ../fire-scenarios/jonquera/output/shape_5_94.shp
  4  13   8  51  98   87   32  35  94  0.7  0.004370    1230      1     80 ../fire-scenarios/jonquera/output/shape_5_89.shp
  4  13   6  35 100   41   33  44  90  1.6  0.010979    1290      1     84 ../fire-scenarios/jonquera/output/shape_5_90.shp
 12   8  12  29 100   37   33  44  94  0.9  0.030252    1500      1     66 ../fire-scenarios/jonquera/output/shape_5_93.shp
  4  13  12  70  82   37   33  45  59  0.7  0.003142     270      1     30 ../fire-scenarios/jonquera/output/shape_5_97.shp
  4  13   8  51  98   37   32  35  94  0.7  0.026781    1290      1    119 ../fire-scenarios/jonquera/output/shape_5_98.shp
 11   2  12  70  82   33   33  35  94  0.2  0.004149     270      1     32 ../fire-scenarios/jonquera/output/shape_6_103.shp
 12   8  11  58  98   41  117  44  31  0.2  0.005340    1830      1     63 ../fire-scenarios/jonquera/output/shape_6_100.shp
 12   9   2  53  98  135   36  35  90  0.7  0.003570    1380      1     68 ../fire-scenarios/jonquera/output/shape_6_99.shp
 12   8   8  51  77   37   32  35  94  0.7  0.028821    1350      1     70 ../fire-scenarios/jonquera/output/shape_6_104.shp
  9  13  12  70  82   33   33  35  90  0.2  0.040067    1320      1     74 ../fire-scenarios/jonquera/output/shape_6_105.shp
 12  13  12  35  82   33   33  35  94  0.9  0.034935    1440      1     55 ../fire-scenarios/jonquera/output/shape_6_108.shp
  7  13  12  29  82   33   33  44  90  0.9  0.046711    1410      1     73 ../fire-scenarios/jonquera/output/shape_6_106.shp
 12   8   8  35  98   37   32  35  90  0.2  0.044953    1830      1     68 ../fire-scenarios/jonquera/output/shape_6_107.shp
 12  13  12  51  82   33   33  44  90  0.9  0.033771    1470      1     35 ../fire-scenarios/jonquera/output/shape_6_111.shp
  9  13  12  70  82   33  356  44  94  0.5  0.045118     240      1     60 ../fire-scenarios/jonquera/output/shape_6_109.shp
 12  13   8  24  98    6   32  41  90  0.2  0.012925    1830      1      6 ../fire-scenarios/jonquera/output/shape_7_120.shp
 12   8   3  67  70   37   32  35  62  1.0  0.005329     360      1     56 ../fire-scenarios/jonquera/output/shape_7_123.shp
  9  13   6  70  82   33   33  35  94  0.2  0.039610    1350      1     72 ../fire-scenarios/jonquera/output/shape_7_116.shp
 12   8  12  51  98   37   32  35  90  0.2  0.044953    1830      1     72 ../fire-scenarios/jonquera/output/shape_7_117.shp
 14   8   9  51  95   37   32  35  90  0.2  0.030013    1350      1     66 ../fire-scenarios/jonquera/output/shape_7_125.shp
 12   8  15  51  98   37   32  35  90  0.2  0.044953    1830      1     70 ../fire-scenarios/jonquera/output/shape_7_127.shp
 12   6   8  34  79   37   32  32  90  0.2  0.032356    1230      1    145 ../fire-scenarios/jonquera/output/shape_7_122.shp
 12   6   8  64  98   37   32  35  90  0.2  0.030357    1230      1    109 ../fire-scenarios/jonquera/output/shape_7_124.shp
